id	popularity	frequency_short	units_short	seasonal_adjustment_short	name	title
82503	2	M		NSA	CP1M	1-Month Commercial Paper Rate (DISCONTINUED)
3313	36	M		NSA	REAINTRATREARAT1MO	1-Month Real Interest Rate
82710	15	W		NSA	MORTGAGE1US	1-Year Adjustable Rate Mortgage Average in the United States (DISCONTINUED)
3291	69	M		NSA	EXPINF1YR	1-Year Expected Inflation
3314	60	M		NSA	REAINTRATREARAT1YE	1-Year Real Interest Rate
82686	10	M		NSA	T1YFFM	1-Year Treasury Constant Maturity Minus Federal Funds Rate
82684	48	M		NSA	T10YIEM	10-Year Breakeven Inflation Rate
3281	65	M		NSA	EXPINF10YR	10-Year Expected Inflation
3312	80	M		NSA	REAINTRATREARAT10Y	10-Year Real Interest Rate
82678	56	M		NSA	T10Y2YM	10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity
82680	39	M		NSA	T10Y3MM	10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity
82682	28	M		NSA	T10YFFM	10-Year Treasury Constant Maturity Minus Federal Funds Rate
3282	4	M		NSA	EXPINF11YR	11-Year Expected Inflation
3283	3	M		NSA	EXPINF12YR	12-Year Expected Inflation
3284	2	M		NSA	EXPINF13YR	13-Year Expected Inflation
3285	3	M		NSA	EXPINF14YR	14-Year Expected Inflation
82565	3	D		NSA	RIFSPPNA2P2D15NB	15-Day A2/P2 Nonfinancial Commercial Paper Interest Rate
82542	1	D		NSA	RIFSPPAAAD15NB	15-Day AA Asset-Backed Commercial Paper Interest Rate
82556	3	D		NSA	RIFSPPFAAD15NB	15-Day AA Financial Commercial Paper Interest Rate
82571	5	D		NSA	RIFSPPNAAD15NB	15-Day AA Nonfinancial Commercial Paper Interest Rate
3286	18	M		NSA	EXPINF15YR	15-Year Expected Inflation
82719	28	D		NSA	OBMMIC15YF	15-Year Fixed Rate Conforming Mortgage Index
82709	75	W		NSA	MORTGAGE15US	15-Year Fixed Rate Mortgage Average in the United States
3287	3	M		NSA	EXPINF16YR	16-Year Expected Inflation
3288	3	M		NSA	EXPINF17YR	17-Year Expected Inflation
3289	3	M		NSA	EXPINF18YR	18-Year Expected Inflation
82650	58	D		NSA	SOFR180DAYAVG	180-Day Average SOFR
3290	3	M		NSA	EXPINF19YR	19-Year Expected Inflation
3302	61	M		NSA	EXPINF2YR	2-Year Expected Inflation
82687	46	M		NSA	T20YIEM	20-year Breakeven Inflation Rate
3292	41	M		NSA	EXPINF20YR	20-Year Expected Inflation
82771	1	A		NSA	H0RIFLGFCY20NA	20-Year U.S. Government Constant Maturity Yield (DISCONTINUED)
82773	2	M		NSA	H0RIFLGFCY20NM	20 Year U.S. Govt. Constant Maturity Yield (DISCONTINUED)
3293	2	M		NSA	EXPINF21YR	21-Year Expected Inflation
3294	2	M		NSA	EXPINF22YR	22-Year Expected Inflation
3295	6	M		NSA	EXPINF23YR	23-Year Expected Inflation
3296	3	M		NSA	EXPINF24YR	24-Year Expected Inflation
3297	21	M		NSA	EXPINF25YR	25-Year Expected Inflation
3298	14	M		NSA	EXPINF26YR	26-Year Expected Inflation
3299	12	M		NSA	EXPINF27YR	27-Year Expected Inflation
3300	2	M		NSA	EXPINF28YR	28-Year Expected Inflation
3301	6	M		NSA	EXPINF29YR	29-Year Expected Inflation
82676	16	M		NSA	CPFFM	3-Month Commercial Paper Minus Federal Funds Rate
82504	9	M		NSA	CP3M	3-Month Commercial Paper Rate (DISCONTINUED)
82700	35	M		NSA	TB3SMFFM	3-Month Treasury Bill Minus Federal Funds Rate
82690	3	M		NSA	T3MFFM	3-Month Treasury Constant Maturity Minus Federal Funds Rate
3304	35	M		NSA	EXPINF3YR	3-Year Expected Inflation
82566	26	D		NSA	RIFSPPNA2P2D30NB	30-Day A2/P2 Nonfinancial Commercial Paper Interest Rate
82543	22	D		NSA	RIFSPPAAAD30NB	30-Day AA Asset-Backed Commercial Paper Interest Rate
82506	12	M		NSA	CPF1M	30-Day AA Financial Commercial Paper Interest Rate
82509	8	M		NSA	CPN1M	30-Day AA Nonfinancial Commercial Paper Interest Rate
82652	81	D		NSA	SOFR30DAYAVG	30-Day Average SOFR
82688	59	M		NSA	T30YIEM	30-year Breakeven Inflation Rate
3303	60	M		NSA	EXPINF30YR	30-Year Expected Inflation
82720	54	D		NSA	OBMMIC30YF	30-Year Fixed Rate Conforming Mortgage Index
82731	29	D		NSA	OBMMIC30YFNA	30-Year Fixed Rate Conforming Non-Adjusted Mortgage Index
82732	61	D		NSA	OBMMIFHA30YF	30-Year Fixed Rate FHA Mortgage Index
82733	64	D		NSA	OBMMIJUMBO30YF	30-Year Fixed Rate Jumbo Mortgage Index
82711	98	W		NSA	MORTGAGE30US	30-Year Fixed Rate Mortgage Average in the United States
82734	40	D		NSA	OBMMIUSDA30YF	30-Year Fixed Rate USDA Mortgage Index
3305	16	M		NSA	EXPINF4YR	4-Year Expected Inflation
82694	34	M		NSA	T5YIEM	5-Year Breakeven Inflation Rate
3306	58	M		NSA	EXPINF5YR	5-Year Expected Inflation
82692	10	M		NSA	T5YFFM	5-Year Treasury Constant Maturity Minus Federal Funds Rate
82712	40	W		NSA	MORTGAGE5US	5/1-Year Adjustable Rate Mortgage Average in the United States (DISCONTINUED)
82505	2	M		NSA	CP6M	6-Month Commercial Paper Rate (DISCONTINUED)
82701	15	M		NSA	TB6SMFFM	6-Month Treasury Bill Minus Federal Funds Rate
82698	3	M		NSA	T6MFFM	6-Month Treasury Constant Maturity Minus Federal Funds Rate
3307	10	M		NSA	EXPINF6YR	6-Year Expected Inflation
82567	3	D		NSA	RIFSPPNA2P2D60NB	60-Day A2/P2 Nonfinancial Commercial Paper Interest Rate
82544	6	D		NSA	RIFSPPAAAD60NB	60-Day AA Asset-Backed Commercial Paper Interest Rate
82507	3	M		NSA	CPF2M	60-Day AA Financial Commercial Paper Interest Rate
82510	2	M		NSA	CPN2M	60-Day AA Nonfinancial Commercial Paper Interest Rate
82564	12	D		NSA	RIFSPPNA2P2D07NB	7-Day A2/P2 Nonfinancial Commercial Paper Interest Rate
82541	2	D		NSA	RIFSPPAAAD07NB	7-Day AA Asset-Backed Commercial Paper Interest Rate
82555	16	D		NSA	RIFSPPFAAD07NB	7-Day AA Financial Commercial Paper Interest Rate
82570	7	D		NSA	RIFSPPNAAD07NB	7-Day AA Nonfinancial Commercial Paper Interest Rate
82699	30	M		NSA	T7YIEM	7-year Breakeven Inflation Rate
3308	16	M		NSA	EXPINF7YR	7-Year Expected Inflation
3309	7	M		NSA	EXPINF8YR	8-Year Expected Inflation
3310	7	M		NSA	EXPINF9YR	9-Year Expected Inflation
82568	30	D		NSA	RIFSPPNA2P2D90NB	90-Day A2/P2 Nonfinancial Commercial Paper Interest Rate
82545	32	D		NSA	RIFSPPAAAD90NB	90-Day AA Asset-Backed Commercial Paper Interest Rate
82508	38	M		NSA	CPF3M	90-Day AA Financial Commercial Paper Interest Rate
82511	29	M		NSA	CPN3M	90-Day AA Nonfinancial Commercial Paper Interest Rate
82654	72	D		NSA	SOFR90DAYAVG	90-Day Average SOFR
72431	1	A		NSA	EXPACSEF5174ALLEST	Access Charges for Satellite Telecommunications, All Establishments, Employer Firms
72432	1	A		NSA	EXPACSEF517911ALLEST	Access Charges for Telecommunication Resellers, All Establishments, Employer Firms (DISCONTINUED)
72429	1	A		NSA	EXPACSEF5171ALLEST	Access Charges for Wired Telecommunications Carriers, All Establishments, Employer Firms
72430	1	A		NSA	EXPACSEF5172ALLEST	Access Charges for Wireless Telecommunications Carriers excluding Satellite, All Establishments, Employer Firms
79759	2	M		NSA	AMINVTN	Advance Merchant Wholesale Inventories: Total Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Inventories
108841	21	Q		NSA	AGSEBMPTCMAHDFS	Agency-and GSE-Backed Mortgage Pools; Total Mortgages; Asset, Level
108789	1	Q		NSA	AGSEMPTCMDODFS	Agency-and GSE-Backed Mortgage Pools; Total Mortgages; Liability (DISCONTINUED)
79698	14	M		NSA	AIRRPMTSI	Air Revenue Passenger Miles
79700	11	M		NSA	AIRRTMFM	Air Revenue Ton Miles of Freight and Mail
79677	1	A		NSA	WTCATAEEF45171	Air Time for Wired Telecommunications Carriers, All Establishments, Employer Firms
68153	71	Q		NSA	USSTHPI	All-Transactions House Price Index for the United States
88255	47	M		NSA	PAYNSA	All Employees, Total Nonfarm
108842	21	Q		NSA	ASCMA	All Sectors; Commercial Mortgages; Asset, Level
108790	14	Q		NSA	ASCFBL	All Sectors; Corporate and Foreign Bonds; Liability, Level
108742	1	Q		NSA	TCMAH	All Sectors; Credit Market Instruments; Asset, Level (DISCONTINUED)
108745	53	Q		NSA	TCMDO	All Sectors; Debt Securities and Loans; Liability, Level
108843	5	Q		NSA	ASFMA	All Sectors; Farm Mortgages; Asset, Level
108975	1	A		NSA	ASGVADA027N	All sectors; gross value added (IMA), Flow (DISCONTINUED)
108520	7	Q		NSA	ASIRAL	All Sectors; IRAs; Liability, Level
108845	22	Q		NSA	ASMRMA	All Sectors; Multifamily Residential Mortgages; Asset, Level
108977	1	A		NSA	ASNSICA027N	All sectors; net saving including net capital transfers paid (IMA), Flow (DISCONTINUED)
108844	29	Q		NSA	ASHMA	All Sectors; One-to-Four-Family Residential Mortgages; Asset, Level
108791	4	Q		NSA	ASOMPL	All Sectors; Open Market Paper; Liability, Level
108792	25	Q		NSA	ASTDSL	All Sectors; Total Debt Securities; Liability, Level
108750	1	Q		NSA	ASTNITA	All Sectors; Total Interbank Transactions; Asset, Level
108847	9	Q		NSA	ASTLL	All Sectors; Total Loans; Liability, Level (DISCONTINUED)
108848	32	Q		NSA	ASTMA	All Sectors; Total Mortgages; Asset, Level
108793	5	Q		NSA	ASUSGASL	All Sectors; U.S. Government Agency Securities; Liability, Level
134728	1	Q		NSA	USATRR	Allocated Transfer Risk Reserves for Commercial Banks in United States (DISCONTINUED)
134727	4	Q		NSA	USALLL	Allowance for Loan and Lease Losses for Commercial Banks in United States (DISCONTINUED)
85744	1	Q		NSA	LLSUS	Allowance for Loan and Lease Losses for Commercial Banks with Assets under $5B in United States (DISCONTINUED)
138311	1	A		NSA	MPU5600012	Apparel and Leather and Applied Products: Total Factor Productivity
86427	7	M		NSA	DTBSPCKANM	Asset-Backed Commercial Paper Outstanding
86507	1	M		NSA	H0DTBSPCKBANM	Asset Backed Commercial Paper Outstanding (DISCONTINUED)
135542	1	Q		NSA	LLRNPT	Assets at Banks whose ALLL exceeds their Nonperforming Loans (DISCONTINUED)
135546	1	Q		NSA	LLRNPT4	Assets at Banks whose ALLL exceeds their Nonperforming Loans, Banks with Total Assets from $10B to $20B (DISCONTINUED)
135545	1	Q		NSA	LLRNPT3	Assets at Banks whose ALLL exceeds their Nonperforming Loans, Banks with Total Assets from $1B to $10B (DISCONTINUED)
135544	1	Q		NSA	LLRNPT2	Assets at Banks whose ALLL exceeds their Nonperforming Loans, Banks with Total Assets from $300M to $1B (DISCONTINUED)
135547	1	Q		NSA	LLRNPT5	Assets at Banks whose ALLL exceeds their Nonperforming Loans, Banks with Total Assets over $20B (DISCONTINUED)
135543	1	Q		NSA	LLRNPT1	Assets at Banks whose ALLL exceeds their Nonperforming Loans, Banks with Total Assets up to $300M (DISCONTINUED)
134110	18	M		NSA	AUENSA	Auto Exports
142688	1	A		NSA	A133RC1A027NBEA	Automobile output
14856	2	M		NSA	DTCTLVNANM	Average Amount Financed for New Car Loans at Auto Finance Companies (DISCONTINUED)
14848	39	M		NSA	DTCTLVENANM	Average Amount Financed for New Car Loans at Finance Companies
14849	5	Q		NSA	DTCTLVENANQ	Average Amount Financed for New Car Loans at Finance Companies (DISCONTINUED)
14859	1	M		NSA	DTCTLVUANM	Average Amount Financed for Used Car Loans at Auto Finance Companies (DISCONTINUED)
14852	5	M		NSA	DTCTLVEUANM	Average Amount Financed for Used Car Loans at Finance Companies
14853	13	Q		NSA	DTCTLVEUANQ	Average Amount Financed for Used Car Loans at Finance Companies (DISCONTINUED)
80153	8	M		NSA	APU0000FD2101	Average Price: All Ham (Excluding Canned Ham and Luncheon Slices) (Cost per Pound/453.6 Grams) in U.S. City Average
80154	29	M		NSA	APU0000FD3101	Average Price: All Pork Chops (Cost per Pound/453.6 Grams) in U.S. City Average
80160	43	M		NSA	APU0000FN1101	Average Price: All Soft Drinks (Cost per 2 Liters/67.6 Ounces) in U.S. City Average
80161	41	M		NSA	APU0000FN1102	Average Price: All Soft Drinks, 12 Pk, 12 Ounce, Cans (Cost per 12 Ounces/354.9 Milliliters) in U.S. City Average
80150	10	M		NSA	APU0000FC2101	Average Price: All Uncooked Beef Roasts (Cost per Pound/453.6 Grams) in U.S. City Average
80151	54	M		NSA	APU0000FC3101	Average Price: All Uncooked Beef Steaks (Cost per Pound/453.6 Grams) in U.S. City Average
80149	20	M		NSA	APU0000FC1101	Average Price: All Uncooked Ground Beef (Cost per Pound/453.6 Grams) in U.S. City Average
80099	2	M		NSA	APU0000713311	Average Price: Apple Sauce, Any Variety, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80105	30	M		NSA	APU0000714233	Average Price: Beans, Dried, Any Type, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80050	5	M		NSA	APU0000705121	Average Price: Bologna, All Beef or Mixed (Cost per Pound/453.6 Grams) in U.S. City Average
80120	58	M		NSA	APU0000717311	Average Price: Coffee, 100%, Ground Roast, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80124	1	M		NSA	APU0000717326	Average Price: Coffee, Freeze Dried, Decaf., All Sizes (Cost per 16 Ounces/453.6 Grams) in U.S. City Average
80123	1	M		NSA	APU0000717325	Average Price: Coffee, Freeze Dried, Regular, All Sizes (Cost per 16 Ounces/453.6 Grams) in U.S. City Average
80125	2	M		NSA	APU0000717327	Average Price: Coffee, Instant, Plain, Regular, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80102	12	M		NSA	APU0000714221	Average Price: Corn, Canned, Any Style, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80003	44	M		NSA	APU0000701111	Average Price: Flour, White, All Purpose (Cost per Pound/453.6 Grams) in U.S. City Average
80049	13	M		NSA	APU0000705111	Average Price: Frankfurters, All Meat or All Beef (Cost per Pound/453.6 Grams) in U.S. City Average
80148	52	M		NSA	APU00007471A	Average Price: Gasoline, All Types (Cost per Gallon/3.785 Liters) in U.S. City Average
80131	16	M		NSA	APU0000720111	Average Price: Malt Beverages, All Types, All Sizes, Any Origin (Cost per 16 Ounces/473.2 Milliliters) in U.S. City Average
80100	2	M		NSA	APU0000713312	Average Price: Peaches, Any Variety, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80115	17	M		NSA	APU0000716141	Average Price: Peanut Butter, Creamy, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80107	45	M		NSA	APU0000715211	Average Price: Sugar, White, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80104	5	M		NSA	APU0000714232	Average Price: Tomatoes, Canned, Any Type, All Sizes (Cost per Pound/453.6 Grams) in U.S. City Average
80134	8	M		NSA	APU0000720222	Average Price: Vodka, All Types, All Sizes, Any Origin (Cost per 1 Liter/33.8 Ounces) in U.S. City Average
