category_name,category_id
2 to 30 Days Repricing/Maturity Interval,32365
31 to 365 Days Repricing/Maturity Interval,32366
8th District Banking Performance,64
AMERIBOR Benchmark Rates,34009
Academic Data,33060
Accommodation Services,33564
Advertising Space and Time Sales,33548
All Commercial and Industrial Loans,32362
Annual Rates,32219
Apparel,32417
Automobile Loan Rates,33058
Bankers Acceptance Rate,51
Banking Indexes,34078
Base Rate of Loans,32369
Borrowings,122
By Country,158
Certificates of Deposit,121
Civilian Labor Force,32442
Cleaning and Building Maintenance Services,33560
Commercial and Industrial Loans Backed by Small Business Association,33439
Commercial and Industrial Loans Made Under Participation or Syndication,33440
Commercial and Industrial Loans Made by Domestic Banks,32370
Commercial and Industrial Loans Made by Large Domestic Banks,32379
Commercial and Industrial Loans Made by Small Domestic Banks,32388
Commercial and Industrial Loans Made by U.S. Branches and Agencies of Foreign Banks,32397
Commercial and Industrial Loans by Time that Pricing Terms Were Set and by Commitment,32406
Condition of Banks,83
Construction,32310
Construction Commodity Based,33573
Consumer Credit,101
Consumer Financial Conditions,33119
"Contract Work on Textile Products, Apparel, and Leather",33572
Corporate Bonds,32348
Credit Card Loan Rates,33059
Credit Intermediation Services,33551
Cryptocurrencies,33913
Daily Rates,94
Daily Repricing/Maturity Interval,32364
Data Processing and Related Services,33550
Delinquencies and Delinquency Rates,32440
Domestic Capital Account (Saving & Investment),112
Domestically Chartered Commercial Banks,33079
Durability of Product,33574
Durable Goods,32312
Duration of Unemployment,32451
EONIA Rates,34005
Earnings,33501
Education and Communication,32421
Education and Health Services,32322
Educational Services,33563
Effect of ARRA on Selected NIPA Estimates,33401
Employer Contributions,33031
Employment,32444
Employment Population Ratio,32445
Employment Services,33557
Entertainment Services,33567
Entrants and Reentrants,32453
Euro Short-Term Rate,34007
Eurodollar Deposits,32298
Exports,16
Factors Affecting Reserve Balances,32215
Failures and Assistance Transactions,33121
Farm Products,33528
Final Demand,33575
Financial Activities,32320
Fixed Assets,33697
Flow of Funds,32251
Food and Beverage for Immediate Consumption Services,33565
Food and Beverages,32415
Foreign Exchange Intervention,32145
Foreign Transactions,108
Foreign-Related Institutions,33080
Furniture and Household Durables,33539
GDP/GNP,106
Goods-Producing,32307
"Gov't Receipts, Expenditures & Investment",107
Government,32325
Gross Domestic Income,33122
Health Care Indexes,33717
Health Care Services,33561
Health Care Spending,33719
"Hides, Skins, Leather, and Related Products",33531
Hires (Levels and Rates),32245
House Price Indexes,32261
"Housing Units Authorized, But Not Yet Started",32301
Housing Units Completed,32304
Housing Units Under Construction,32303
Imports,17
Imputations,33054
Income Payments & Receipts,3000
Industry,33045
Information,32319
Inputs to Industries,33582
Insurance and Annuities,33553
Interest Checking Accounts,33056
Interest Rate Swaps,32299
Intermediate Demand By Commodity Type,33577
Intermediate Demand By Production Flow,33576
International Data,32263
International Investment Position,33705
Inventories,32432
Investment Services,33552
Labor Force Status Flows,33502
Layoffs and Discharges (Levels and Rates),32248
Leisure and Hospitality,32323
Long-Term Securities,32995
Losers and Leavers,32452
M1 and Components,25
M2 Minus Small Time Deposits,96
M3 and Components,28
MZM,30
Manufactured Housing,33949
Manufacturing,32311
Medical Care,32419
Memorandum Items,26
Metal Treatment Services,33570
Mining Services,33571
Mining and Logging,32309
Miscellaneous Products,33542
Monetary Policy,34242
Money Market Accounts,33055
Money Velocity,32242
Monthly Rates,95
More Than 365 Days Repricing/Maturity Interval,32367
Mortgage Debt Outstanding,33445
Net Charge-Offs and Charge-Off Rates,32439
Network Compensation from Broadcast and Cable Television and Radio,33547
Nondurable Goods,32313
Nonmetallic Mineral Products,33540
Not in Labor Force,32448
Other Goods and Services,32422
Other Separations (Levels and Rates),32249
Other Services,32324
Patents,33959
Personal Current Taxes,33032
Personal Loan Rates,33057
Poverty Measures,33735
Price Indexes & Deflators,21
Prime Bank Loan Rate,117
Private Enterprise Income,109
Private Service-Providing,32308
Processed Foods and Feeds,33529
Productivity & Costs,2
Professional Services,33556
Professional and Business Services,32321
"Publishing Sales, Excluding Software",33545
"Pulp, Paper, and Allied Products",33536
Quantity Indexes,33021
Real Estate Services,33554
Recreation,32420
Rental and Leasing of Goods,33555
Repair and Maintenance Services,33566
Reserves,123
Retail Trade,32316
Retail Trade Services,33569
SONIA Rates,34003
Saving Accounts,33491
Securities & Investments,99
"Securities, Loans, & Other Assets & Liabilities Held by Fed",32218
Selected Security Services,33559
Senior Credit Officer Opinion Survey,34111
Service-Providing,32326
Shipments,32430
Size of Loans,32368
Software Publishing,33546
Special Indexes,32424
Special Indexes Commodity Based,33580
Stage of Processing,33581
Stock Market Indexes,32255
Supplemental Nutrition Assistance Program,33514
"Telecommunication, Cable, and Internet User Services",33549
Total Private,32306
Total Separations (Levels and Rates),32246
Trade Indexes,32220
"Trade, Transportation, and Utilities",32314
Transportation,32418
Transportation Equipment,33541
Transportation Services,33543
Transportation and Warehousing,32317
Travel Arrangement Services,33558
Treasury Bills,116
Treasury Inflation-Indexed Securities,82
U.S. International Finance,127
U.S. Regional Data,3008
Unfilled Orders,32435
Unfilled Orders to Shipments,32434
Utilities,32318
Wage and Salary Accruals,33030
"Warehousing, Storage, and Related Services",33544
Waste Collection and Remediation Services,33562
Wholesale Trade,32315
Wholesale Trade Services,33568
Zero Repricing/Maturity Interval,32363
